Sorter,Combos,reverse_primer_i7,forward_primer_i5,reverse_primer_i7_well,forward_primer_i5_well,Var7,S_Row_R,S_Col_R,S_Row_F,S_Col_F,LastUsedDateTime,LastUsedBarcodeStartIndex,LastUsedBarcodeEndIndex
1,BC_00088BC_00184,BC_00088,BC_00184,G15,G16,G15G16,7,15,7,16,NaT,0,0
1,BC_00089BC_00185,BC_00089,BC_00185,I15,I16,I15I16,9,15,9,16,NaT,0,0
1,BC_00090BC_00186,BC_00090,BC_00186,K15,K16,K15K16,11,15,11,16,NaT,0,0
1,BC_00091BC_00187,BC_00091,BC_00187,M15,M16,M15M16,13,15,13,16,NaT,0,0
1,BC_00092BC_00188,BC_00092,BC_00188,O15,O16,O15O16,15,15,15,16,NaT,0,0
1,BC_00093BC_00189,BC_00093,BC_00189,A17,A18,A17A18,1,17,1,18,NaT,0,0
1,BC_00094BC_00190,BC_00094,BC_00190,C17,C18,C17C18,3,17,3,18,NaT,0,0
1,BC_00095BC_00191,BC_00095,BC_00191,E17,E18,E17E18,5,17,5,18,NaT,0,0
1,BC_00096BC_00192,BC_00096,BC_00192,G17,G18,G17G18,7,17,7,18,NaT,0,0
1,BC_00097BC_00193,BC_00097,BC_00193,I17,I18,I17I18,9,17,9,18,NaT,0,0
1,BC_00098BC_00194,BC_00098,BC_00194,K17,K18,K17K18,11,17,11,18,NaT,0,0
1,BC_00099BC_00195,BC_00099,BC_00195,M17,M18,M17M18,13,17,13,18,NaT,0,0
1,BC_00100BC_00196,BC_00100,BC_00196,O17,O18,O17O18,15,17,15,18,NaT,0,0
1,BC_00101BC_00197,BC_00101,BC_00197,A19,A20,A19A20,1,19,1,20,NaT,0,0
1,BC_00102BC_00198,BC_00102,BC_00198,C19,C20,C19C20,3,19,3,20,NaT,0,0
1,BC_00103BC_00199,BC_00103,BC_00199,E19,E20,E19E20,5,19,5,20,NaT,0,0
1,BC_00104BC_00202,BC_00104,BC_00202,G19,K20,G19K20,7,19,11,20,NaT,0,0
1,BC_00105BC_00203,BC_00105,BC_00203,I19,M20,I19M20,9,19,13,20,NaT,0,0
1,BC_00106BC_00204,BC_00106,BC_00204,K19,O20,K19O20,11,19,15,20,NaT,0,0
1,BC_00107BC_00205,BC_00107,BC_00205,M19,A22,M19A22,13,19,1,22,NaT,0,0
1,BC_00108BC_00206,BC_00108,BC_00206,O19,C22,O19C22,15,19,3,22,NaT,0,0
1,BC_00109BC_00207,BC_00109,BC_00207,A21,E22,A21E22,1,21,5,22,NaT,0,0
1,BC_00110BC_00208,BC_00110,BC_00208,C21,G22,C21G22,3,21,7,22,NaT,0,0
1,BC_00111BC_00209,BC_00111,BC_00209,E21,I22,E21I22,5,21,9,22,NaT,0,0
1,BC_00112BC_00210,BC_00112,BC_00210,G21,K22,G21K22,7,21,11,22,NaT,0,0
1,BC_00113BC_00211,BC_00113,BC_00211,I21,M22,I21M22,9,21,13,22,NaT,0,0
1,BC_00114BC_00212,BC_00114,BC_00212,K21,O22,K21O22,11,21,15,22,NaT,0,0
1,BC_00115BC_00213,BC_00115,BC_00213,M21,A24,M21A24,13,21,1,24,NaT,0,0
1,BC_00117BC_00214,BC_00117,BC_00214,A23,C24,A23C24,1,23,3,24,NaT,0,0
1,BC_00118BC_00215,BC_00118,BC_00215,C23,E24,C23E24,3,23,5,24,NaT,0,0
1,BC_00119BC_00216,BC_00119,BC_00216,E23,G24,E23G24,5,23,7,24,NaT,0,0
1,BC_00120BC_00217,BC_00120,BC_00217,G23,I24,G23I24,7,23,9,24,NaT,0,0
1,BC_00121BC_00218,BC_00121,BC_00218,I23,K24,I23K24,9,23,11,24,NaT,0,0
1,BC_00122BC_00219,BC_00122,BC_00219,K23,M24,K23M24,11,23,13,24,NaT,0,0
1,BC_00123BC_00220,BC_00123,BC_00220,M23,O24,M23O24,13,23,15,24,NaT,0,0
2,BC_00029BC_00126,BC_00029,BC_00126,A1,C2,A1C2,1,1,3,2,NaT,0,0
2,BC_00030BC_00127,BC_00030,BC_00127,C1,E2,C1E2,3,1,5,2,NaT,0,0
2,BC_00031BC_00128,BC_00031,BC_00128,E1,G2,E1G2,5,1,7,2,NaT,0,0
2,BC_00032BC_00129,BC_00032,BC_00129,G1,I2,G1I2,7,1,9,2,NaT,0,0
2,BC_00033BC_00130,BC_00033,BC_00130,I1,K2,I1K2,9,1,11,2,NaT,0,0
2,BC_00034BC_00131,BC_00034,BC_00131,K1,M2,K1M2,11,1,13,2,NaT,0,0
2,BC_00035BC_00132,BC_00035,BC_00132,M1,O2,M1O2,13,1,15,2,NaT,0,0
2,BC_00036BC_00133,BC_00036,BC_00133,O1,A4,O1A4,15,1,1,4,NaT,0,0
2,BC_00037BC_00134,BC_00037,BC_00134,A3,C4,A3C4,1,3,3,4,NaT,0,0
2,BC_00038BC_00135,BC_00038,BC_00135,C3,E4,C3E4,3,3,5,4,NaT,0,0
2,BC_00039BC_00136,BC_00039,BC_00136,E3,G4,E3G4,5,3,7,4,NaT,0,0
2,BC_00040BC_00137,BC_00040,BC_00137,G3,I4,G3I4,7,3,9,4,NaT,0,0
2,BC_00041BC_00138,BC_00041,BC_00138,I3,K4,I3K4,9,3,11,4,NaT,0,0
2,BC_00042BC_00139,BC_00042,BC_00139,K3,M4,K3M4,11,3,13,4,NaT,0,0
2,BC_00043BC_00140,BC_00043,BC_00140,M3,O4,M3O4,13,3,15,4,NaT,0,0
2,BC_00044BC_00141,BC_00044,BC_00141,O3,A6,O3A6,15,3,1,6,NaT,0,0
2,BC_00045BC_00142,BC_00045,BC_00142,A5,C6,A5C6,1,5,3,6,NaT,0,0
2,BC_00046BC_00143,BC_00046,BC_00143,C5,E6,C5E6,3,5,5,6,NaT,0,0
2,BC_00047BC_00144,BC_00047,BC_00144,E5,G6,E5G6,5,5,7,6,NaT,0,0
2,BC_00048BC_00145,BC_00048,BC_00145,G5,I6,G5I6,7,5,9,6,NaT,0,0
2,BC_00050BC_00146,BC_00050,BC_00146,K5,K6,K5K6,11,5,11,6,NaT,0,0
2,BC_00051BC_00147,BC_00051,BC_00147,M5,M6,M5M6,13,5,13,6,NaT,0,0
2,BC_00052BC_00148,BC_00052,BC_00148,O5,O6,O5O6,15,5,15,6,NaT,0,0
2,BC_00053BC_00149,BC_00053,BC_00149,A7,A8,A7A8,1,7,1,8,NaT,0,0
2,BC_00054BC_00150,BC_00054,BC_00150,C7,C8,C7C8,3,7,3,8,NaT,0,0
2,BC_00055BC_00151,BC_00055,BC_00151,E7,E8,E7E8,5,7,5,8,NaT,0,0
2,BC_00056BC_00152,BC_00056,BC_00152,G7,G8,G7G8,7,7,7,8,NaT,0,0
2,BC_00057BC_00153,BC_00057,BC_00153,I7,I8,I7I8,9,7,9,8,NaT,0,0
2,BC_00058BC_00154,BC_00058,BC_00154,K7,K8,K7K8,11,7,11,8,NaT,0,0
2,BC_00059BC_00155,BC_00059,BC_00155,M7,M8,M7M8,13,7,13,8,NaT,0,0
2,BC_00060BC_00156,BC_00060,BC_00156,O7,O8,O7O8,15,7,15,8,NaT,0,0
2,BC_00061BC_00157,BC_00061,BC_00157,A9,A10,A9A10,1,9,1,10,NaT,0,0
2,BC_00062BC_00158,BC_00062,BC_00158,C9,C10,C9C10,3,9,3,10,NaT,0,0
2,BC_00063BC_00159,BC_00063,BC_00159,E9,E10,E9E10,5,9,5,10,NaT,0,0
2,BC_00064BC_00160,BC_00064,BC_00160,G9,G10,G9G10,7,9,7,10,NaT,0,0
2,BC_00065BC_00161,BC_00065,BC_00161,I9,I10,I9I10,9,9,9,10,NaT,0,0
2,BC_00066BC_00162,BC_00066,BC_00162,K9,K10,K9K10,11,9,11,10,NaT,0,0
2,BC_00067BC_00164,BC_00067,BC_00164,M9,O10,M9O10,13,9,15,10,NaT,0,0
2,BC_00068BC_00165,BC_00068,BC_00165,O9,A12,O9A12,15,9,1,12,NaT,0,0
2,BC_00069BC_00166,BC_00069,BC_00166,A11,C12,A11C12,1,11,3,12,NaT,0,0
2,BC_00070BC_00167,BC_00070,BC_00167,C11,E12,C11E12,3,11,5,12,NaT,0,0
2,BC_00071BC_00168,BC_00071,BC_00168,E11,G12,E11G12,5,11,7,12,NaT,0,0
2,BC_00072BC_00169,BC_00072,BC_00169,G11,I12,G11I12,7,11,9,12,NaT,0,0
2,BC_00073BC_00170,BC_00073,BC_00170,I11,K12,I11K12,9,11,11,12,NaT,0,0
2,BC_00074BC_00171,BC_00074,BC_00171,K11,M12,K11M12,11,11,13,12,NaT,0,0
2,BC_00075BC_00172,BC_00075,BC_00172,M11,O12,M11O12,13,11,15,12,NaT,0,0
2,BC_00076BC_00173,BC_00076,BC_00173,O11,A14,O11A14,15,11,1,14,NaT,0,0
2,BC_00077BC_00174,BC_00077,BC_00174,A13,C14,A13C14,1,13,3,14,NaT,0,0
2,BC_00078BC_00175,BC_00078,BC_00175,C13,E14,C13E14,3,13,5,14,NaT,0,0
2,BC_00079BC_00176,BC_00079,BC_00176,E13,G14,E13G14,5,13,7,14,NaT,0,0
2,BC_00080BC_00177,BC_00080,BC_00177,G13,I14,G13I14,7,13,9,14,NaT,0,0
2,BC_00081BC_00178,BC_00081,BC_00178,I13,K14,I13K14,9,13,11,14,NaT,0,0
2,BC_00082BC_00179,BC_00082,BC_00179,K13,M14,K13M14,11,13,13,14,NaT,0,0
2,BC_00083BC_00180,BC_00083,BC_00180,M13,O14,M13O14,13,13,15,14,NaT,0,0
2,BC_00084BC_00181,BC_00084,BC_00181,O13,A16,O13A16,15,13,1,16,NaT,0,0
2,BC_00085BC_00182,BC_00085,BC_00182,A15,C16,A15C16,1,15,3,16,NaT,0,0
